nid,osmid,lat,lon,street_count,geometry
0,110355652,38.0128977,-122.6445655,3,POINT (-122.6445655 38.0128977)
1,110355759,38.0120605,-122.6434051,5,POINT (-122.6434051 38.0120605)
2,110359283,38.0045648,-122.6327684,3,POINT (-122.6327684 38.0045648)
3,110370198,38.007508,-122.639722,3,POINT (-122.639722 38.007508)
4,110370204,38.007339,-122.640039,1,POINT (-122.640039 38.007339)
5,110370696,38.0066591,-122.6398189,3,POINT (-122.6398189 38.0066591)
6,110371821,38.0057868,-122.6311118,3,POINT (-122.6311118 38.0057868)
7,110371884,38.0032815,-122.6384135,3,POINT (-122.6384135 38.0032815)
8,110377352,38.013339,-122.642932,3,POINT (-122.642932 38.013339)
9,110377354,38.0129919,-122.6429075,3,POINT (-122.6429075 38.0129919)
10,110377358,38.0123751,-122.6431536,4,POINT (-122.6431536 38.0123751)
11,110377361,38.0119658,-122.643948,5,POINT (-122.643948 38.0119658)
12,110377366,38.0111933,-122.6449575,4,POINT (-122.6449575 38.0111933)
13,110377371,38.0097187,-122.6449829,3,POINT (-122.6449829 38.0097187)
14,110385113,38.0068082,-122.6385333,4,POINT (-122.6385333 38.0068082)
15,110389263,38.0059418,-122.6343929,4,POINT (-122.6343929 38.0059418)
16,110389269,38.0068637,-122.6349659,3,POINT (-122.6349659 38.0068637)
17,110389271,38.0070054,-122.6357271,3,POINT (-122.6357271 38.0070054)
18,110389273,38.0071343,-122.636328,3,POINT (-122.636328 38.0071343)
19,110390206,38.0072883,-122.6318446,3,POINT (-122.6318446 38.0072883)
20,110390211,38.0066171,-122.6324885,4,POINT (-122.6324885 38.0066171)
21,110390230,38.0045459,-122.6357899,3,POINT (-122.6357899 38.0045459)
22,110393307,38.0083766,-122.6419985,3,POINT (-122.6419985 38.0083766)
23,110393315,38.007312,-122.64172,3,POINT (-122.64172 38.007312)
24,110393332,38.0050114,-122.6410766,5,POINT (-122.6410766 38.0050114)
25,110393348,38.0034861,-122.6406446,3,POINT (-122.6406446 38.0034861)
26,110405674,38.012783,-122.647408,3,POINT (-122.647408 38.012783)
27,110405696,38.0083345,-122.6392152,3,POINT (-122.6392152 38.0083345)
28,110405732,38.000833,-122.6378333,3,POINT (-122.6378333 38.000833)
29,110405733,38.0012134,-122.6380204,3,POINT (-122.6380204 38.0012134)
30,110405763,38.0055558,-122.6380491,3,POINT (-122.6380491 38.0055558)
31,110405772,38.0065251,-122.6384135,3,POINT (-122.6384135 38.0065251)
32,110405832,37.9954049,-122.6506661,3,POINT (-122.6506661 37.9954049)
33,110408698,38.0075368,-122.634908,3,POINT (-122.634908 38.0075368)
34,110408700,38.0081155,-122.6364221,3,POINT (-122.6364221 38.0081155)
35,110408702,38.0087589,-122.6374522,3,POINT (-122.6374522 38.0087589)
36,110408704,38.0088746,-122.6377898,5,POINT (-122.6377898 38.0088746)
37,110408705,38.0100399,-122.6400563,3,POINT (-122.6400563 38.0100399)
38,110408707,38.012892,-122.645868,4,POINT (-122.645868 38.012892)
39,110409690,37.9987332,-122.6335585,3,POINT (-122.6335585 37.9987332)
40,110409693,37.9997306,-122.6327283,1,POINT (-122.6327283 37.9997306)
41,110410592,38.0120223,-122.6411982,1,POINT (-122.6411982 38.0120223)
42,110410595,38.0115832,-122.6415161,3,POINT (-122.6415161 38.0115832)
43,110414638,38.0054691,-122.6369028,3,POINT (-122.6369028 38.0054691)
44,110414648,38.0047094,-122.6369412,1,POINT (-122.6369412 38.0047094)
45,110416523,38.0121552,-122.6409516,3,POINT (-122.6409516 38.0121552)
46,110416526,38.0088603,-122.6363415,3,POINT (-122.6363415 38.0088603)
47,110421437,38.0067018,-122.6374596,4,POINT (-122.6374596 38.0067018)
48,110421873,38.007121,-122.643688,3,POINT (-122.643688 38.007121)
49,110421919,38.006221,-122.643132,3,POINT (-122.643132 38.006221)
50,110425568,37.996365,-122.642493,3,POINT (-122.642493 37.996365)
51,110425597,37.99471,-122.637516,3,POINT (-122.637516 37.99471)
52,110425653,38.0063707,-122.62685,3,POINT (-122.62685 38.0063707)
53,110425663,38.0078283,-122.6218605,3,POINT (-122.6218605 38.0078283)
54,110425771,38.0064243,-122.6402812,3,POINT (-122.6402812 38.0064243)
55,110425794,38.0041858,-122.6435537,3,POINT (-122.6435537 38.0041858)
56,110427844,38.0078704,-122.6436787,4,POINT (-122.6436787 38.0078704)
57,110427847,38.0077425,-122.6434,3,POINT (-122.6434 38.0077425)
58,110432694,38.009052,-122.6175015,4,POINT (-122.6175015 38.009052)
59,110442073,38.0075366,-122.6380653,3,POINT (-122.6380653 38.0075366)
60,110442078,38.0054276,-122.6362562,4,POINT (-122.6362562 38.0054276)
61,110442476,38.0129192,-122.64421,3,POINT (-122.64421 38.0129192)
62,110442478,38.0106136,-122.6395982,4,POINT (-122.6395982 38.0106136)
63,110442482,38.0098536,-122.6377168,3,POINT (-122.6377168 38.0098536)
64,110446110,38.0042358,-122.6417608,1,POINT (-122.6417608 38.0042358)
65,110449953,38.0061743,-122.6408376,1,POINT (-122.6408376 38.0061743)
66,110450095,37.9990316,-122.6347887,3,POINT (-122.6347887 37.9990316)
67,110453827,38.0074351,-122.6320222,1,POINT (-122.6320222 38.0074351)
68,110457276,38.0091831,-122.6375867,4,POINT (-122.6375867 38.0091831)
69,110457286,38.0079985,-122.6376795,4,POINT (-122.6376795 38.0079985)
70,1114148461,38.0096786,-122.6175633,3,POINT (-122.6175633 38.0096786)
71,1120925533,38.0087083,-122.6176985,3,POINT (-122.6176985 38.0087083)
72,1122942632,37.994625,-122.636885,3,POINT (-122.636885 37.994625)
73,1705290936,37.9983325,-122.6343953,3,POINT (-122.6343953 37.9983325)
74,1857975590,38.0076407,-122.6241381,3,POINT (-122.6241381 38.0076407)
75,2006817287,38.008428,-122.6174585,3,POINT (-122.6174585 38.008428)
76,2006817311,38.0096108,-122.6174085,4,POINT (-122.6174085 38.0096108)
77,2393115846,38.0116129,-122.6432425,3,POINT (-122.6432425 38.0116129)
78,2393115847,38.0116802,-122.6433664,3,POINT (-122.6433664 38.0116802)
79,2394608722,38.001447,-122.640745,3,POINT (-122.640745 38.001447)
80,2394608732,38.0019994,-122.6387708,3,POINT (-122.6387708 38.0019994)
81,2506294862,38.0016907,-122.6388576,3,POINT (-122.6388576 38.0016907)
82,2506294904,38.0080162,-122.6399216,1,POINT (-122.6399216 38.0080162)
83,2606393059,38.0092813,-122.6435338,1,POINT (-122.6435338 38.0092813)
84,2607367908,37.9994054,-122.6367955,3,POINT (-122.6367955 37.9994054)
85,2607367913,38.0007649,-122.6366104,1,POINT (-122.6366104 38.0007649)
86,2607367918,38.0084542,-122.6379081,3,POINT (-122.6379081 38.0084542)
87,2613936043,38.0016455,-122.6364522,1,POINT (-122.6364522 38.0016455)
88,2614020517,38.0072239,-122.6345111,3,POINT (-122.6345111 38.0072239)
89,2614020519,38.0075552,-122.6357098,1,POINT (-122.6357098 38.0075552)
90,2614058336,38.0078901,-122.6370768,3,POINT (-122.6370768 38.0078901)
91,2618772538,38.0058831,-122.6302437,1,POINT (-122.6302437 38.0058831)
92,2630144525,38.0088232,-122.6299263,3,POINT (-122.6299263 38.0088232)
93,2630144530,38.009035,-122.6303476,3,POINT (-122.6303476 38.009035)
94,2882876541,37.994743,-122.641497,3,POINT (-122.641497 37.994743)
95,2882876550,37.9937262,-122.6384737,3,POINT (-122.6384737 37.9937262)
96,3552151798,38.0066549,-122.6176071,3,POINT (-122.6176071 38.0066549)
97,6169955647,37.9953539,-122.6503714,3,POINT (-122.6503714 37.9953539)
98,7353507152,38.0050554,-122.6306096,1,POINT (-122.6306096 38.0050554)
99,8005590444,38.0070412,-122.6363479,2,POINT (-122.6363479 38.0070412)
100,8005590448,38.0067486,-122.6358521,2,POINT (-122.6358521 38.0067486)
101,8005590449,38.0068916,-122.635632,3,POINT (-122.635632 38.0068916)
102,8005590451,38.0071604,-122.6364945,3,POINT (-122.6364945 38.0071604)
103,8156954911,38.0126303,-122.6452979,3,POINT (-122.6452979 38.0126303)
104,8156954912,38.0128952,-122.6451492,3,POINT (-122.6451492 38.0128952)
105,8156983274,38.0082275,-122.6375305,3,POINT (-122.6375305 38.0082275)
106,8156983275,38.0079707,-122.6375044,3,POINT (-122.6375044 38.0079707)
107,8156983276,38.0081463,-122.6373952,3,POINT (-122.6373952 38.0081463)
108,8156990657,38.0090623,-122.638145,3,POINT (-122.638145 38.0090623)
109,8280616022,38.0082197,-122.6352081,3,POINT (-122.6352081 38.0082197)
110,8280616030,38.0084577,-122.6356992,1,POINT (-122.6356992 38.0084577)
111,8398747289,37.9996382,-122.6533397,3,POINT (-122.6533397 37.9996382)
